period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2007-08,20,3.6621,3.9626,20,3.6621,7.5841,7.5841,True,100.0
2007-09,20,4.2041,4.6293,20,4.2041,9.1845,9.1845,True,100.0
2007-10,19,5.1063,5.4766,19,5.1063,6.7622,6.7622,True,100.0
2007-11,20,5.0593,5.2378,19,4.9124,3.4094,6.2124,True,54.88
2007-12,20,5.6094,5.9498,18,5.4826,5.7209,7.8511,True,72.87
2008-01,18,4.8348,3.8955,25,3.8955,-24.1135,0.0,False,0.0
2008-02,29,3.746,3.6843,26,3.5701,-1.6753,3.0986,False,-54.07
2008-03,18,3.9797,4.2023,19,3.8853,5.2977,7.5436,True,70.23
2008-04,22,4.8001,5.0856,22,4.8001,5.6148,5.6148,True,100.0
2008-05,21,5.3391,5.586,22,5.3049,4.4199,5.0314,True,87.85
2008-06,20,5.2516,5.0964,30,5.017,-3.0454,1.558,False,-195.46
2008-07,29,4.7066,4.8576,28,4.6263,3.1088,4.7619,True,65.29
2008-08,29,5.0796,5.2336,29,5.0796,2.9427,2.9427,True,100.0
2008-09,29,3.1539,3.953,29,3.1539,20.2152,20.2152,True,100.0
2008-10,21,2.7413,2.7593,21,2.7413,0.6516,0.6516,True,100.0
2008-11,20,2.4117,2.7206,20,2.4117,11.3546,11.3546,True,100.0
2008-12,23,2.5882,2.5711,24,2.5481,-0.6643,0.8973,False,-74.03
2009-01,22,2.6475,2.7185,20,2.3431,2.6121,13.8102,True,18.91
2009-02,23,2.6053,2.676,23,2.6053,2.6425,2.6425,True,100.0
2009-03,30,3.1308,3.2015,18,3.0418,2.2087,4.9883,True,44.28
2009-04,20,3.6105,3.7373,20,3.6105,3.3913,3.3913,True,100.0
2009-05,21,3.7208,3.9866,22,3.6705,6.6666,7.9293,True,84.08
2009-06,18,4.0714,4.1906,23,4.0153,2.8457,4.1827,True,68.03
2009-07,21,4.5397,4.7971,21,4.5397,5.3654,5.3654,True,100.0
2009-08,18,4.9139,5.0772,18,4.9139,3.2163,3.2163,True,100.0
2009-09,18,5.5438,5.4644,25,5.4644,-1.4531,0.0,False,0.0
2009-10,30,5.648,5.9138,30,5.648,4.4942,4.4942,True,100.0
2009-11,18,6.1712,6.0103,30,5.9899,-2.6771,0.339,False,-789.76
2009-12,21,5.9396,6.3405,18,5.8557,6.3229,7.6461,True,82.69
2010-01,21,6.2344,6.2287,29,5.7547,-0.0914,7.6102,False,-1.2
2010-02,23,5.9045,6.0525,23,5.9045,2.4455,2.4455,True,100.0
2010-03,19,6.6593,6.7911,19,6.6593,1.9413,1.9413,True,100.0
2010-04,27,7.8515,7.8515,20,7.3286,0.0,6.6593,False,0.0
2010-05,18,7.5615,7.5911,20,7.124,0.3908,6.1535,True,6.35
2010-06,30,7.5366,7.9911,30,7.5366,5.6881,5.6881,True,100.0
2010-07,19,7.3583,7.9126,19,7.3583,7.0055,7.0055,True,100.0
2010-08,24,7.189,7.2397,24,7.189,0.6994,0.6994,True,100.0
2010-09,20,8.4864,8.724,20,8.4864,2.7236,2.7236,True,100.0
2010-10,19,9.2733,9.2235,29,9.0183,-0.5393,2.2253,False,-24.24
2010-11,18,9.2415,9.4384,19,9.1906,2.0858,2.6254,True,79.44
2010-12,20,9.6544,9.7284,20,9.6544,0.7607,0.7607,True,100.0
2011-01,21,9.7895,10.2836,21,9.7895,4.8046,4.8046,True,100.0
2011-02,22,10.1458,10.4319,22,10.1458,2.743,2.743,True,100.0
2011-03,18,9.9079,10.5332,18,9.9079,5.9367,5.9367,True,100.0
2011-04,20,10.2596,10.4915,18,9.9432,2.2105,5.2263,True,42.3
2011-05,24,9.9534,10.1098,24,9.9534,1.5471,1.5471,True,100.0
2011-06,20,9.4479,9.9489,20,9.4479,5.0355,5.0355,True,100.0
2011-07,18,11.2002,11.7632,18,11.2002,4.7862,4.7862,True,100.0
2011-08,19,10.6677,11.1978,19,10.6677,4.7335,4.7335,True,100.0
2011-09,30,11.4255,11.963,30,11.4255,4.4933,4.4933,True,100.0
2011-10,25,11.9184,12.1257,21,11.7716,1.71,2.9207,True,58.55
2011-11,21,11.0566,10.8936,25,10.8936,-1.4963,0.0,False,0.0
2011-12,22,11.9418,12.1809,19,11.4522,1.9629,5.9823,True,32.81
2012-01,18,12.8574,13.4019,20,12.5935,4.0623,6.032,True,67.35
2012-02,22,15.3722,15.7533,22,15.3722,2.4193,2.4193,True,100.0
2012-03,20,18.1564,18.4117,23,17.8594,1.3865,2.9993,True,46.23
2012-04,24,16.7877,18.0677,24,16.7877,7.0846,7.0846,True,100.0
2012-05,18,15.8918,16.8479,18,15.8918,5.6749,5.6749,True,100.0
2012-06,25,17.102,17.2137,28,17.0504,0.6493,0.9486,True,68.44
2012-07,24,18.0054,17.5332,26,17.2251,-2.6932,1.7568,False,-153.3
2012-08,24,19.9574,20.3323,21,19.7419,1.8441,2.9037,True,63.51
2012-09,26,20.0164,20.502,26,20.0164,2.3689,2.3689,True,100.0
2012-10,31,17.9142,18.3421,31,17.9142,2.3329,2.3329,True,100.0
2012-11,20,16.9558,17.6774,20,16.9558,4.0819,4.0819,True,100.0
2012-12,28,15.4044,15.5698,28,15.4044,1.062,1.062,True,100.0
2013-01,24,13.6182,13.2972,25,13.2972,-2.4143,0.0,False,0.0
2013-02,21,13.5626,13.5173,28,13.4209,-0.3352,0.713,False,-47.0
2013-03,28,13.4592,13.7456,28,13.4592,2.0837,2.0837,True,100.0
2013-04,18,11.9204,12.4169,19,11.8742,3.9987,4.3709,True,91.48
2013-05,29,13.6184,13.5109,21,13.4565,-0.7951,0.4032,False,-197.2
2013-06,24,12.3204,12.0522,27,12.0522,-2.2246,0.0,False,0.0
2013-07,23,12.8238,13.421,23,12.8238,4.4492,4.4492,True,100.0
2013-08,19,15.6428,15.0528,30,15.0106,-3.9194,0.2804,False,-1397.75
2013-09,30,14.688,14.8729,18,14.3161,1.2429,3.7432,True,33.2
2013-10,21,16.0624,16.2041,18,15.6782,0.8746,3.2455,True,26.95
2013-11,20,15.9591,16.9185,20,15.9591,5.6708,5.6708,True,100.0
2013-12,30,17.1837,17.3563,19,16.872,0.9944,2.7906,True,35.64
2014-01,24,16.9219,17.0592,30,15.4874,0.8047,9.2135,True,8.73
2014-02,26,16.1279,16.4496,26,16.1279,1.9558,1.9558,True,100.0
2014-03,18,16.5659,16.7548,20,16.4817,1.1275,1.6299,True,69.18
2014-04,23,16.3586,17.8296,23,16.3586,8.2509,8.2509,True,100.0
2014-05,22,19.0368,19.6123,19,18.9528,2.9346,3.363,True,87.26
2014-06,24,19.8107,20.1838,24,19.8107,1.8482,1.8482,True,100.0
2014-07,21,20.6139,21.4324,21,20.6139,3.819,3.819,True,100.0
2014-08,18,21.8676,22.5225,18,21.8676,2.908,2.908,True,100.0
2014-09,25,21.5831,21.5831,25,21.5831,0.0,0.0,False,0.0
2014-10,20,21.9999,23.1797,20,21.9999,5.0899,5.0899,True,100.0
2014-11,20,25.7609,26.0466,19,25.3976,1.0969,2.4915,True,44.03
2014-12,31,24.4475,25.247,31,24.4475,3.167,3.167,True,100.0
2015-01,20,24.0798,24.1728,20,24.0798,0.3848,0.3848,True,100.0
2015-02,18,28.622,28.5642,19,28.562,-0.2024,0.0078,False,-2597.26
