period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2010-04,27,49.8361,49.8361,26,49.6546,0.0,0.3643,False,0.0
2010-05,25,50.688,50.4305,27,50.4305,-0.5106,0.0,False,0.0
2010-06,24,50.9745,51.0375,18,50.7855,0.1234,0.4937,True,25.0
2010-07,20,51.4468,51.4847,20,51.4468,0.0736,0.0736,True,0.0
2010-08,18,52.1886,52.1886,18,52.1886,0.0,0.0,False,0.0
2010-09,20,52.1279,52.4773,20,52.1279,0.6658,0.6658,True,100.0
2010-10,27,52.4027,52.4027,27,52.4027,0.0,0.0,False,0.0
2010-11,26,52.2601,52.2601,24,52.1388,0.0,0.2322,False,0.0
2010-12,28,51.2998,51.6353,28,51.2998,0.6498,0.6498,True,100.0
2011-01,21,51.7385,51.7902,20,51.6353,0.0997,0.2989,True,33.35
2011-02,23,51.7157,51.9097,18,51.5281,0.3738,0.7353,True,50.84
2011-03,28,51.9627,52.0081,29,51.8719,0.0873,0.2619,True,33.33
2011-04,20,52.2869,52.495,18,52.2738,0.3965,0.4213,True,94.1
2011-05,18,53.0183,53.2205,19,52.9987,0.38,0.4167,True,91.18
2011-06,27,53.5107,53.5107,30,53.0856,0.0,0.7945,False,0.0
2011-07,18,53.5886,53.5165,25,53.4968,-0.1348,0.0368,False,0.0
2011-08,29,54.7129,54.7786,24,54.6274,0.12,0.2761,True,43.47
2011-09,29,55.0046,55.1298,29,55.0046,0.2271,0.2271,True,100.0
2011-10,27,54.8283,54.8283,27,54.8283,0.0,0.0,False,0.0
2011-11,30,55.238,55.4368,30,55.238,0.3586,0.3586,True,100.0
2011-12,21,55.5455,55.5889,21,55.5455,0.078,0.078,True,0.0
2012-01,23,55.7093,56.1308,23,55.7093,0.7509,0.7509,True,100.0
2012-02,21,55.9723,56.3277,21,55.9723,0.631,0.631,True,100.0
2012-03,19,55.5447,55.9884,19,55.5447,0.7924,0.7924,True,100.0
2012-04,25,56.4578,56.5657,25,56.4578,0.1907,0.1907,True,100.0
2012-05,22,56.7549,56.8023,24,56.7346,0.0833,0.119,True,69.98
2012-06,21,57.1105,57.1444,22,56.9953,0.0593,0.2608,True,22.74
2012-07,27,57.699,57.699,27,57.699,0.0,0.0,False,0.0
2012-08,20,57.2883,57.7374,20,57.2883,0.7779,0.7779,True,100.0
2012-09,18,57.6237,58.0124,18,57.6237,0.67,0.67,True,100.0
2012-10,18,57.7758,57.7896,18,57.7758,0.0237,0.0237,True,0.0
2012-11,21,57.8988,58.0151,21,57.8988,0.2003,0.2003,True,100.0
2012-12,18,57.6501,57.5747,24,57.4789,-0.1309,0.1665,False,-78.62
2013-01,25,57.2256,57.2256,30,57.0338,0.0,0.335,False,0.0
2013-02,19,57.0926,57.4151,19,57.0926,0.5616,0.5616,True,100.0
2013-03,25,57.3435,57.481,20,57.2817,0.2392,0.3468,True,68.98
2013-04,25,57.9473,57.9473,19,57.9335,0.0,0.0239,False,0.0
2013-05,22,57.3679,57.0499,31,56.9532,-0.5573,0.1696,False,-328.54
2013-06,19,56.451,55.987,24,55.4399,-0.8288,0.9772,False,-84.81
2013-07,25,56.1653,56.1653,25,56.1653,0.0,0.0,False,0.0
2013-08,21,55.4114,55.8634,21,55.4114,0.8092,0.8092,True,100.0
2013-09,18,56.1919,56.3313,20,56.1222,0.2475,0.3711,True,66.67
2013-10,18,56.7167,56.9193,21,56.6469,0.3558,0.4786,True,74.35
2013-11,20,56.5001,56.6541,20,56.5001,0.2718,0.2718,True,100.0
2013-12,18,56.5243,56.2508,26,56.2508,-0.4862,0.0,False,0.0
2014-01,28,56.9896,56.9403,22,56.7433,-0.0865,0.346,False,-25.0
2014-02,20,57.1732,57.5046,20,57.1732,0.5763,0.5763,True,100.0
2014-03,19,57.1528,57.4707,20,57.1033,0.5533,0.6393,True,86.54
2014-04,28,57.6692,57.733,21,57.6055,0.1104,0.2208,True,50.02
2014-05,22,58.2353,58.3488,22,58.2353,0.1946,0.1946,True,100.0
2014-06,19,58.1559,58.4333,19,58.1559,0.4747,0.4747,True,100.0
2014-07,31,58.3206,58.5701,31,58.3206,0.426,0.426,True,100.0
2014-08,20,58.7006,58.9077,20,58.7006,0.3516,0.3516,True,100.0
2014-09,18,58.3199,58.6491,18,58.3199,0.5614,0.5614,True,100.0
2014-10,31,59.0731,59.2667,31,59.0731,0.3267,0.3267,True,100.0
2014-11,19,59.0608,59.3771,19,59.0608,0.5326,0.5326,True,100.0
2014-12,23,59.3374,59.4097,23,59.3374,0.1218,0.1218,True,100.0
2015-01,22,60.3865,60.5456,21,60.372,0.2629,0.2868,True,91.65
2015-02,20,59.9212,60.2329,19,59.9066,0.5176,0.5417,True,95.55
2015-03,19,60.3652,60.4232,19,60.3652,0.0961,0.0961,True,0.0
2015-04,30,60.3654,60.6785,29,60.2999,0.5159,0.6239,True,82.69
2015-05,19,59.7082,60.0364,19,59.7082,0.5467,0.5467,True,100.0
2015-06,23,59.2367,59.2659,26,59.1563,0.0493,0.185,True,26.68
2015-07,20,59.4217,59.8464,20,59.4217,0.7098,0.7098,True,100.0
2015-08,26,59.7428,59.8236,26,59.7428,0.135,0.135,True,100.0
2015-09,21,59.9178,59.9399,21,59.9178,0.0369,0.0369,True,0.0
2015-10,29,60.1412,60.5244,29,60.1412,0.6332,0.6332,True,100.0
2015-11,18,59.9186,60.0663,18,59.9186,0.2459,0.2459,True,100.0
2015-12,29,59.7752,59.9607,29,59.7752,0.3094,0.3094,True,100.0
2016-01,25,60.3392,60.4282,19,60.3317,0.1473,0.1596,True,92.3
2016-02,23,61.0554,61.1892,19,61.0033,0.2187,0.3038,True,71.99
2016-03,22,61.2676,61.3569,22,61.2676,0.1457,0.1457,True,100.0
2016-04,26,61.6124,61.799,26,61.6124,0.3021,0.3021,True,100.0
2016-05,19,61.8541,61.899,18,61.7868,0.0725,0.1813,True,39.98
2016-06,22,62.5129,63.0677,23,62.4005,0.8797,1.058,True,83.15
2016-07,18,63.1606,63.416,18,63.1606,0.4027,0.4027,True,100.0
2016-08,26,63.2614,63.4195,26,63.2614,0.2493,0.2493,True,100.0
2016-09,19,63.0394,63.5296,19,63.0394,0.7716,0.7716,True,100.0
2016-10,28,62.79,62.8203,28,62.79,0.0482,0.0482,True,0.0
2016-11,23,61.2402,61.2628,23,61.2402,0.037,0.037,True,0.0
2016-12,19,60.9519,60.9935,19,60.9519,0.0681,0.0681,True,0.0
2017-01,25,61.3509,61.4422,25,61.3509,0.1486,0.1486,True,100.0
2017-02,21,61.73,61.9815,21,61.73,0.4057,0.4057,True,100.0
2017-03,20,61.6517,61.9648,20,61.6517,0.5052,0.5052,True,100.0
2017-04,25,62.2282,62.3353,25,62.2282,0.1719,0.1719,True,100.0
2017-05,23,62.5637,62.694,23,62.5637,0.2079,0.2079,True,100.0
2017-06,30,62.8796,63.0564,30,62.8796,0.2803,0.2803,True,100.0
2017-07,25,63.0795,63.1567,25,63.0795,0.1222,0.1222,True,100.0
2017-08,22,63.6226,63.7932,22,63.6226,0.2673,0.2673,True,100.0
2017-09,27,63.6174,63.6174,27,63.6174,0.0,0.0,False,0.0
2017-10,26,63.3745,63.5146,26,63.3745,0.2205,0.2205,True,100.0
2017-11,30,63.5557,63.8052,30,63.5557,0.391,0.391,True,100.0
2017-12,20,63.5072,63.8368,20,63.5072,0.5163,0.5163,True,100.0
2018-01,22,63.1474,63.4138,30,63.0926,0.4201,0.5065,True,82.93
2018-02,21,62.2345,62.3759,21,62.2345,0.2266,0.2266,True,100.0
2018-03,21,62.4425,62.7336,20,62.4425,0.4641,0.4641,True,100.0
2018-04,24,62.1811,62.3152,25,62.0944,0.2152,0.3544,True,60.73
2018-05,18,62.0843,62.5507,18,62.0843,0.7456,0.7456,True,100.0
2018-06,20,62.6363,62.9539,20,62.6363,0.5045,0.5045,True,100.0
2018-07,23,62.8116,62.8912,23,62.8116,0.1266,0.1266,True,100.0
2018-08,29,63.224,63.3596,29,63.224,0.2141,0.2141,True,100.0
2018-09,25,62.7343,62.9422,25,62.7343,0.3303,0.3303,True,100.0
2018-10,23,62.4637,62.5599,22,62.3755,0.1538,0.2947,True,52.19
2018-11,20,62.6439,62.6921,20,62.6439,0.0769,0.0769,True,0.0
2018-12,26,63.5213,63.6586,26,63.5213,0.2157,0.2157,True,100.0
2019-01,22,64.0382,64.1674,18,63.9251,0.2015,0.3776,True,53.35
2019-02,21,64.618,64.6989,21,64.618,0.1251,0.1251,True,100.0
2019-03,18,65.0513,65.8952,19,65.0188,1.2808,1.3301,True,96.3
2019-04,22,65.4885,65.757,22,65.4885,0.4083,0.4083,True,100.0
