period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2014-10,22,8.6071,8.7509,20,8.534,1.6436,2.4785,True,66.31
2014-11,18,9.1664,9.2075,18,9.1664,0.4464,0.4464,True,100.0
2014-12,31,9.1604,9.3098,31,9.1604,1.6049,1.6049,True,100.0
2015-01,30,8.8753,9.0501,30,8.8753,1.9304,1.9304,True,100.0
2015-02,23,9.3259,9.3397,19,9.3121,0.1477,0.2953,True,49.99
2015-03,25,9.0627,9.0789,26,9.0465,0.1785,0.3569,True,50.0
2015-04,30,9.19,9.264,30,9.19,0.7994,0.7994,True,100.0
2015-05,29,9.2363,9.2825,26,9.2201,0.4986,0.6732,True,74.07
2015-06,29,8.9374,9.1077,30,8.9304,1.8694,1.9462,True,96.05
2015-07,24,8.8768,8.8394,27,8.8394,-0.4222,0.0,False,0.0
2015-08,21,8.5339,8.5526,25,8.0768,0.2181,5.5631,True,3.92
2015-09,22,8.4284,8.4284,28,8.2944,0.0,1.5904,False,0.0
2015-10,30,9.1951,9.1763,21,8.9293,-0.205,2.691,False,-7.62
2015-11,19,9.188,9.2421,18,9.1668,0.5853,0.8143,True,71.88
2015-12,18,8.967,9.1972,18,8.967,2.5032,2.5032,True,100.0
2016-01,19,8.5624,8.6643,20,8.4321,1.1755,2.6791,True,43.88
2016-02,29,8.9911,9.1214,19,8.9532,1.4282,1.8437,True,77.47
2016-03,28,9.4806,9.4806,23,9.471,0.0,0.1007,False,0.0
2016-04,21,9.6142,9.6953,29,9.5498,0.8368,1.5014,True,55.74
2016-05,19,9.4663,9.7025,19,9.4663,2.4348,2.4348,True,100.0
2016-06,27,9.5402,9.5402,27,9.5402,0.0,0.0,False,0.0
2016-07,28,10.2328,10.2545,28,10.2328,0.2111,0.2111,True,100.0
2016-08,26,10.216,10.2449,26,10.216,0.2817,0.2817,True,100.0
2016-09,19,10.0654,10.1525,20,10.0606,0.8578,0.9054,True,94.74
2016-10,20,9.9784,10.0533,20,9.9784,0.7459,0.7459,True,100.0
2016-11,18,10.2856,10.4597,18,10.2856,1.6651,1.6651,True,100.0
2016-12,30,10.6355,10.7429,30,10.6355,0.9998,0.9998,True,100.0
2017-01,19,10.5867,10.6941,31,10.5842,1.0043,1.0271,True,97.78
2017-02,22,10.9089,10.987,22,10.9089,0.7109,0.7109,True,100.0
2017-03,27,10.9021,10.9021,27,10.9021,0.0,0.0,False,0.0
2017-04,19,10.8652,11.0398,19,10.8652,1.5813,1.5813,True,100.0
2017-05,18,10.8971,11.1258,18,10.8971,2.0553,2.0553,True,100.0
2017-06,29,11.1345,11.2014,29,11.1345,0.5969,0.5969,True,100.0
2017-07,24,11.2138,11.3847,24,11.2138,1.501,1.501,True,100.0
2017-08,18,11.2163,11.293,18,11.2163,0.6798,0.6798,True,100.0
2017-09,21,11.6209,11.6384,21,11.6209,0.1501,0.1501,True,100.0
2017-10,19,12.05,12.1772,18,12.0226,1.0449,1.2703,True,82.26
2017-11,24,12.297,12.3095,20,12.2321,0.1014,0.6283,True,16.13
2017-12,26,12.8602,12.8778,21,12.8376,0.1365,0.3121,True,43.75
2018-01,30,13.4379,13.4806,18,13.3726,0.3167,0.8012,True,39.53
2018-02,21,12.5714,12.8452,21,12.5714,2.1314,2.1314,True,100.0
2018-03,22,12.2507,12.1825,23,12.0134,-0.5596,1.3886,False,-40.3
2018-04,24,12.1724,12.3567,24,12.1724,1.4917,1.4917,True,100.0
2018-05,29,12.4274,12.5234,29,12.4274,0.7661,0.7661,True,100.0
2018-06,27,12.4936,12.4936,27,12.4936,0.0,0.0,False,0.0
2018-07,31,13.1173,13.0078,23,12.8729,-0.8415,1.0372,False,-81.13
2018-08,31,13.4176,13.4482,23,13.3336,0.2272,0.8518,True,26.67
2018-09,21,13.7842,13.5612,27,13.5612,-1.6443,0.0,False,0.0
2018-10,18,12.9281,12.7026,26,12.5514,-1.7757,1.1905,False,-149.16
2018-11,19,12.9692,12.8948,23,12.6641,-0.5764,1.789,False,-32.22
2018-12,19,12.0582,12.0659,24,11.4302,0.0643,5.2688,True,1.22
2019-01,22,12.5543,12.6887,22,12.5543,1.0591,1.0591,True,100.0
2019-02,21,13.3658,13.3968,21,13.3658,0.2315,0.2315,True,100.0
2019-03,25,13.3988,13.5003,25,13.3988,0.7516,0.7516,True,100.0
2019-04,25,13.9764,13.9764,29,13.9582,0.0,0.1303,False,0.0
