period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2013-06,20,6.71,7.2833,21,6.6367,7.8718,8.8787,True,88.66
2013-07,18,7.9353,8.2713,18,7.9353,4.0622,4.0622,True,100.0
2013-08,19,9.66,11.134,19,9.66,13.2387,13.2387,True,100.0
2013-09,18,11.0813,12.7267,18,11.0813,12.9282,12.9282,True,100.0
2013-10,22,11.436,11.3107,30,10.6147,-1.1081,6.1535,False,-18.01
2013-11,20,8.074,8.4627,26,8.0333,4.5927,5.0733,True,90.53
2013-12,19,9.3813,10.0747,19,9.3813,6.882,6.882,True,100.0
2014-01,27,11.308,11.308,27,11.308,0.0,0.0,False,0.0
2014-02,20,13.998,16.836,19,12.9093,16.8567,23.323,True,72.28
2014-03,18,16.0027,13.8213,27,13.8213,-15.7824,0.0,False,0.0
2014-04,28,13.234,13.3233,28,13.234,0.6705,0.6705,True,100.0
2014-05,20,13.02,14.104,20,13.02,7.6858,7.6858,True,100.0
2014-06,18,15.1413,15.9373,18,15.1413,4.9946,4.9946,True,100.0
2014-07,18,14.668,14.9047,22,14.6387,1.5879,1.7847,True,88.97
2014-08,20,17.0473,17.55,21,16.956,2.8642,3.3846,True,84.62
2014-09,25,16.4633,16.4633,30,16.1787,0.0,1.7291,False,0.0
2014-10,27,14.778,14.778,27,14.778,0.0,0.0,False,0.0
2014-11,21,16.1853,16.5393,21,16.1853,2.1404,2.1404,True,100.0
2014-12,29,15.0473,15.188,18,14.5507,0.9262,4.1963,True,22.07
2015-01,28,13.2913,13.732,20,12.7953,3.2091,6.8211,True,47.05
2015-02,25,13.584,13.556,27,13.556,-0.2065,0.0,False,0.0
2015-03,27,12.3333,12.3333,27,12.3333,0.0,0.0,False,0.0
2015-04,20,13.6847,15.4367,20,13.6847,11.3496,11.3496,True,100.0
2015-05,21,16.3747,16.4953,20,16.29,0.7315,1.2448,True,58.77
2015-06,22,17.3193,17.9193,22,17.3193,3.3483,3.3483,True,100.0
2015-07,21,17.7847,16.8673,27,16.8673,-5.4385,0.0,False,0.0
2015-08,21,15.3847,16.1993,24,14.5913,5.029,9.9263,True,50.66
2015-09,29,16.4433,17.1273,29,16.4433,3.9936,3.9936,True,100.0
2015-10,30,13.7953,14.0233,30,13.7953,1.6259,1.6259,True,100.0
2015-11,18,14.738,15.4407,23,14.5167,4.5508,5.9842,True,76.05
2015-12,21,15.504,15.2633,28,15.2633,-1.5768,0.0,False,0.0
2016-01,20,13.2467,12.538,27,12.538,-5.6522,0.0,False,0.0
2016-02,19,11.1053,12.4953,19,11.1053,11.1241,11.1241,True,100.0
2016-03,18,15.516,15.3507,23,14.8387,-1.077,3.3354,False,-32.29
2016-04,19,16.4913,16.7647,29,16.0507,1.6304,4.259,True,38.28
2016-05,24,14.5273,14.8693,18,14.078,2.3,5.3219,True,43.22
2016-06,24,12.8767,13.2367,24,12.8767,2.7197,2.7197,True,100.0
2016-07,21,14.7,15.2327,21,14.7,3.4969,3.4969,True,100.0
2016-08,18,14.9007,14.7307,30,14.0893,-1.1541,4.3537,False,-26.51
2016-09,22,13.762,13.7207,29,13.38,-0.3012,2.4829,False,-12.13
2016-10,28,13.3313,13.6007,31,13.182,1.9803,3.0783,True,64.33
2016-11,29,12.638,13.11,21,12.3013,3.6003,6.1683,True,58.37
2016-12,21,13.8467,14.6353,19,13.5153,5.3888,7.6527,True,70.42
2017-01,20,16.3153,16.8633,18,15.8907,3.2497,5.7679,True,56.34
2017-02,23,17.066,16.4153,27,16.4153,-3.9638,0.0,False,0.0
2017-03,21,16.712,18.0147,21,16.712,7.2311,7.2311,True,100.0
2017-04,18,20.0167,20.5753,18,20.0167,2.7152,2.7152,True,100.0
2017-05,23,20.2573,21.122,23,20.2573,4.0937,4.0937,True,100.0
2017-06,19,24.6533,24.158,29,24.05,-2.0504,0.4471,False,-458.63
2017-07,19,21.684,22.2973,31,21.5647,2.7507,3.2859,True,83.71
2017-08,21,22.524,23.2033,21,22.524,2.9277,2.9277,True,100.0
2017-09,26,23.0167,22.7313,28,22.64,-1.2552,0.4018,False,-312.41
2017-10,20,23.0067,21.3913,30,21.3387,-7.5513,0.2462,False,-3067.14
2017-11,20,20.5827,21.1207,29,20.5027,2.5473,2.926,True,87.06
2017-12,27,20.776,20.776,29,20.7567,0.0,0.0931,False,0.0
2018-01,30,23.0547,22.5093,25,22.5093,-2.4227,0.0,False,0.0
2018-02,28,22.8707,23.3993,21,22.22,2.2593,5.04,True,44.83
2018-03,28,17.1853,18.612,28,17.1853,7.6653,7.6653,True,100.0
2018-04,18,19.5567,19.6053,25,18.7127,0.2482,4.5532,True,5.45
2018-05,24,18.5233,18.59,22,18.334,0.3586,1.3771,True,26.04
2018-06,25,22.2007,22.9667,25,22.2007,3.3353,3.3353,True,100.0
2018-07,18,21.59,19.812,30,19.3447,-8.9744,2.3588,False,-380.46
2018-08,30,20.21,21.2847,31,20.1107,5.049,5.5157,True,91.54
2018-09,28,17.6513,20.5013,28,17.6513,13.9015,13.9015,True,100.0
2018-10,18,17.594,20.9907,19,17.3333,16.1818,17.4236,True,92.87
2018-11,21,22.546,22.928,23,21.722,1.6661,5.2599,True,31.67
2018-12,24,19.6927,21.0753,24,19.6927,6.5606,6.5606,True,100.0
2019-01,22,19.928,19.8027,23,19.1727,-0.6329,3.1814,False,-19.89
2019-02,21,19.4153,20.9827,21,19.4153,7.4697,7.4697,True,100.0
2019-03,25,17.3613,18.322,25,17.3613,5.2432,5.2432,True,100.0
2019-04,25,16.5087,16.5087,26,15.676,0.0,5.0438,False,0.0
2019-05,31,12.344,12.58,31,12.344,1.876,1.876,True,100.0
2019-06,26,14.618,14.856,26,14.618,1.602,1.602,True,100.0
2019-07,26,15.2027,15.2547,26,15.2027,0.3409,0.3409,True,100.0
2019-08,26,14.3333,14.272,23,14.0933,-0.4297,1.2519,False,-34.33
2019-09,24,14.8807,16.142,24,14.8807,7.814,7.814,True,100.0
2019-10,21,16.9,21.8753,21,16.9,22.744,22.744,True,100.0
2019-11,29,21.996,22.086,26,21.928,0.4075,0.7154,True,56.96
2019-12,30,27.6467,28.692,18,26.21,3.6433,8.6505,True,42.12
2020-01,27,37.2013,37.2013,21,36.48,0.0,1.939,False,0.0
2020-02,24,55.586,45.2667,28,44.5327,-22.7968,1.6215,False,-1405.9
2020-03,30,33.4753,34.2907,18,24.0813,2.3777,29.7729,True,7.99
2020-04,21,45.7813,53.25,21,45.7813,14.0257,14.0257,True,100.0
2020-05,22,54.4587,54.682,28,53.7207,0.4084,1.758,True,23.23
2020-06,24,64.0567,65.732,26,63.9827,2.5487,2.6613,True,95.77
2020-07,31,95.384,102.64,24,94.4667,7.0694,7.9631,True,88.78
2020-08,31,166.1067,149.25,19,125.2353,-11.2943,16.0902,False,-70.19
2020-09,23,126.7867,135.78,23,126.7867,6.6235,6.6235,True,100.0
2020-10,23,140.21,141.56,30,129.3467,0.9537,8.6277,True,11.05
2020-11,25,191.3333,195.2533,18,162.2133,2.0076,16.9216,True,11.86
2020-12,23,215.3267,221.23,22,213.4467,2.6684,3.5182,True,75.85
2021-01,29,264.51,288.0533,29,264.51,8.1733,8.1733,True,100.0
2021-02,26,225.1667,227.4067,26,225.1667,0.985,0.985,True,100.0
2021-03,29,203.7633,213.4633,29,203.7633,4.5441,4.5441,True,100.0
2021-04,19,238.21,234.9133,29,225.6667,-1.4034,3.9362,False,-35.65
2021-05,19,187.82,210.2833,19,187.82,10.6824,10.6824,True,100.0
2021-06,18,207.77,223.9567,21,206.9433,7.2276,7.5967,True,95.14
2021-07,19,215.4067,214.9267,23,214.46,-0.2233,0.2171,False,-102.86
2021-08,19,224.49,237.3067,19,224.49,5.4009,5.4009,True,100.0
2021-09,30,258.4933,263.7867,20,243.39,2.0067,7.7323,True,25.95
2021-10,19,288.09,345.9533,19,288.09,16.7258,16.7258,True,100.0
2021-11,26,360.64,360.64,26,360.64,0.0,0.0,False,0.0
2021-12,20,299.98,364.6467,20,299.98,17.7341,17.7341,True,100.0
2022-01,21,314.6333,276.3667,27,276.3667,-13.8463,0.0,False,0.0
2022-02,18,285.66,269.9567,23,254.68,-5.817,5.6589,False,-102.79
2022-03,18,301.7967,336.88,18,301.7967,10.4142,10.4142,True,100.0
2022-04,29,290.2533,293.8367,29,290.2533,1.2195,1.2195,True,100.0
2022-05,20,221.3,253.21,24,209.3867,12.6022,17.3071,True,72.82
2022-06,22,236.0867,244.92,30,224.4733,3.6066,8.3483,True,43.2
2022-07,21,271.7067,274.82,18,240.5467,1.1329,12.4712,True,9.08
2022-08,26,288.09,296.07,31,275.61,2.6953,6.9105,True,39.0
2022-09,21,300.8,282.94,30,265.25,-6.3123,6.2522,False,-100.96
2022-10,21,214.44,225.09,20,207.28,4.7314,7.9124,True,59.8
2022-11,21,167.87,182.86,21,167.87,8.1975,8.1975,True,100.0
2022-12,20,137.8,109.1,27,109.1,-26.3061,0.0,False,0.0
2023-01,19,127.17,177.9,19,127.17,28.516,28.516,True,100.0
2023-02,24,196.88,207.63,24,196.88,5.1775,5.1775,True,100.0
2023-03,24,190.41,191.81,20,183.25,0.7299,4.4627,True,16.36
2023-04,18,184.31,160.19,26,153.75,-15.0571,4.0202,False,-374.53
2023-05,24,182.9,184.47,18,176.89,0.8511,4.1091,True,20.71
2023-06,21,259.46,250.21,26,241.05,-3.6969,3.6609,False,-100.98
2023-07,21,260.02,255.71,27,255.71,-1.6855,0.0,False,0.0
2023-08,18,215.49,238.59,18,215.49,9.6819,9.6819,True,100.0
2023-09,22,244.88,240.5,27,240.5,-1.8212,0.0,False,0.0
2023-10,26,205.76,207.3,30,197.36,0.7429,4.795,True,15.49
2023-11,22,234.21,236.08,22,234.21,0.7921,0.7921,True,100.0
2023-12,28,253.18,261.44,20,247.14,3.1594,5.4697,True,57.76
2024-01,26,183.25,182.63,25,182.63,-0.3395,0.0,False,0.0
2024-02,23,191.97,199.73,23,191.97,3.8852,3.8852,True,100.0
