period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2010-07,21,18.9994,20.0853,21,18.9994,5.4063,5.4063,True,100.0
2010-08,24,19.1221,19.5148,24,19.1221,2.012,2.012,True,100.0
2010-09,22,21.0362,21.2816,23,20.8031,1.1531,2.2485,True,51.28
2010-10,27,21.8521,21.8521,19,21.7846,0.0,0.3088,False,0.0
2010-11,29,21.2386,21.4656,30,20.9564,1.0574,2.3721,True,44.58
2010-12,20,22.3306,22.5065,20,22.3306,0.7813,0.7813,True,100.0
2011-01,28,22.9968,23.5438,28,22.9968,2.3231,2.3231,True,100.0
2011-02,22,23.4998,23.8267,22,23.4998,1.372,1.372,True,100.0
2011-03,18,22.6385,23.1741,18,22.6385,2.3114,2.3114,True,100.0
2011-04,26,24.4256,24.7275,18,23.3125,1.2207,5.7223,True,21.33
2011-05,23,23.0798,23.7716,23,23.0798,2.91,2.91,True,100.0
2011-06,24,22.7087,22.9037,24,22.7087,0.8512,0.8512,True,100.0
2011-07,29,23.3754,23.4131,18,22.8157,0.1612,2.5517,True,6.32
2011-08,18,20.3379,20.3064,19,19.9983,-0.1548,1.5175,False,-10.2
2011-09,21,19.1933,19.5329,22,18.5079,1.7386,5.2479,True,33.13
2011-10,18,20.4888,22.1176,19,20.1744,7.3643,8.7859,True,83.82
2011-11,25,18.4764,18.4764,25,18.4764,0.0,0.0,False,0.0
2011-12,19,19.0613,19.8433,19,19.0613,3.9408,3.9408,True,100.0
2012-01,30,20.9167,21.164,18,20.5459,1.1682,2.9204,True,40.0
2012-02,29,22.0748,22.1269,22,21.9447,0.2353,0.8233,True,28.57
2012-03,22,21.9453,22.2577,22,21.9453,1.4035,1.4035,True,100.0
2012-04,23,21.1057,21.7435,23,21.1057,2.9333,2.9333,True,100.0
2012-05,30,19.1273,19.3486,30,19.1273,1.1436,1.1436,True,100.0
2012-06,25,19.5243,19.8236,25,19.5243,1.5102,1.5102,True,100.0
2012-07,24,19.5893,20.7543,24,19.5893,5.6131,5.6131,True,100.0
2012-08,30,21.0732,21.4572,30,21.0732,1.7896,1.7896,True,100.0
2012-09,26,22.0072,22.2595,28,21.8345,1.1337,1.9093,True,59.38
2012-10,23,21.974,22.1267,23,21.974,0.6903,0.6903,True,100.0
2012-11,19,21.8943,22.2529,19,21.8943,1.6115,1.6115,True,100.0
2012-12,28,23.2845,23.5192,28,23.2845,0.998,0.998,True,100.0
2013-01,22,24.1966,24.5587,23,24.1496,1.4746,1.6658,True,88.52
2013-02,25,23.7875,24.2637,25,23.7875,1.9624,1.9624,True,100.0
2013-03,26,24.573,24.4517,25,24.4315,-0.4959,0.0827,False,0.0
2013-04,18,24.4517,25.4419,18,24.4517,3.892,3.892,True,100.0
2013-05,31,25.0512,25.6642,31,25.0512,2.3885,2.3885,True,100.0
2013-06,24,23.6944,24.4058,24,23.6944,2.9148,2.9148,True,100.0
2013-07,29,25.5754,25.9448,30,25.5686,1.4237,1.45,True,98.19
2013-08,21,25.6438,25.5275,30,25.2061,-0.4556,1.2594,False,-36.17
2013-09,30,27.1848,27.3909,30,27.1848,0.7523,0.7523,True,100.0
2013-10,31,28.0571,28.2975,31,28.0571,0.8495,0.8495,True,100.0
2013-11,20,27.9404,28.1945,20,27.9404,0.9014,0.9014,True,100.0
2013-12,19,27.7961,28.5784,19,27.7961,2.7374,2.7374,True,100.0
2014-01,24,27.7637,27.6325,31,27.2804,-0.4748,1.2744,False,-37.25
2014-02,19,28.4818,28.8684,19,28.4818,1.3394,1.3394,True,100.0
2014-03,20,27.9501,28.4379,21,27.9018,1.7153,1.8853,True,90.98
2014-04,22,29.1148,28.8915,25,28.8915,-0.7729,0.0,False,0.0
2014-05,20,29.1079,29.6662,20,29.1079,1.8819,1.8819,True,100.0
2014-06,26,29.9874,30.0439,24,29.9732,0.1881,0.235,True,80.0
2014-07,31,29.3659,29.9238,31,29.3659,1.8646,1.8646,True,100.0
2014-08,20,29.3447,29.606,22,29.3305,0.8826,0.9303,True,94.87
2014-09,30,28.2208,28.4196,30,28.2208,0.6995,0.6995,True,100.0
2014-10,22,26.9997,27.3121,20,26.9003,1.1438,1.5077,True,75.86
2014-11,19,27.944,28.235,20,27.8019,1.0309,1.5338,True,67.21
2014-12,18,27.3689,27.6471,31,27.0613,1.0065,2.1189,True,47.5
2015-01,30,27.2542,27.6971,20,27.1756,1.5992,1.8829,True,84.93
2015-02,27,28.933,28.933,18,28.6044,0.0,1.1358,False,0.0
