period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2013-09,20,126.3389,125.1637,30,124.4686,-0.9389,0.5554,False,-169.06
2013-10,30,130.5143,130.288,18,129.108,-0.1737,0.9057,False,-19.18
2013-11,19,132.6076,134.119,20,132.1874,1.127,1.4402,True,78.25
2013-12,18,134.5636,136.8802,19,134.4423,1.6924,1.781,True,95.03
2014-01,29,131.9556,132.5244,29,131.9556,0.4292,0.4292,True,100.0
2014-02,28,138.6598,138.351,19,136.2788,-0.2232,1.4978,False,-14.9
2014-03,26,138.3622,138.0846,27,138.0846,-0.201,0.0,False,0.0
2014-04,25,139.3581,139.3581,25,139.3581,0.0,0.0,False,0.0
2014-05,20,140.2398,143.2684,20,140.2398,2.114,2.114,True,100.0
2014-06,24,146.3736,147.1772,24,146.3736,0.546,0.546,True,100.0
2014-07,29,148.0875,148.6534,31,145.1108,0.3806,2.3831,True,15.97
2014-08,22,149.744,150.6214,18,148.3581,0.5825,1.5026,True,38.77
2014-09,25,148.3477,148.3477,25,148.3477,0.0,0.0,False,0.0
2014-10,22,145.5958,148.1829,20,143.7996,1.7459,2.958,True,59.02
2014-11,19,155.0379,156.5457,19,155.0379,0.9632,0.9632,True,100.0
2014-12,31,155.2274,157.4933,31,155.2274,1.4387,1.4387,True,100.0
2015-01,28,151.182,153.2006,30,150.77,1.3176,1.5866,True,83.05
2015-02,27,159.1823,159.1823,19,158.6962,0.0,0.3054,False,0.0
2015-03,26,155.8041,156.1271,26,155.8041,0.2069,0.2069,True,100.0
2015-04,30,158.2554,160.0027,30,158.2554,1.0921,1.0921,True,100.0
2015-05,26,159.9613,161.4354,26,159.9613,0.9131,0.9131,True,100.0
2015-06,29,156.7072,160.0934,29,156.7072,2.1152,2.1152,True,100.0
2015-07,27,157.7389,157.7389,27,157.7389,0.0,0.0,False,0.0
2015-08,24,144.4851,152.023,25,142.7296,4.9584,6.1132,True,81.11
2015-09,28,144.1244,147.8465,28,144.1244,2.5175,2.5175,True,100.0
2015-10,21,154.7136,158.4189,21,154.7136,2.3389,2.3389,True,100.0
2015-11,18,160.0249,160.7191,19,159.9413,0.4319,0.484,True,89.25
2015-12,18,154.2368,158.2688,18,154.2368,2.5476,2.5476,True,100.0
2016-01,20,143.3086,145.0755,20,143.3086,1.218,1.218,True,100.0
2016-02,29,149.2489,150.8728,19,148.1467,1.0764,1.8069,True,59.57
2016-03,22,158.7206,157.7056,24,157.5956,-0.6437,0.0698,False,0.0
2016-04,29,160.0657,162.4427,29,160.0657,1.4633,1.4633,True,100.0
2016-05,19,158.4585,163.0687,19,158.4585,2.8272,2.8272,True,100.0
2016-06,27,155.6201,155.6201,27,155.6201,0.0,0.0,False,0.0
2016-07,26,169.0441,168.9335,19,168.636,-0.0654,0.1762,False,-37.13
2016-08,26,169.5031,169.8262,26,169.5031,0.1902,0.1902,True,100.0
2016-09,19,167.3316,169.0053,19,167.3316,0.9903,0.9903,True,100.0
2016-10,31,166.6313,167.1608,28,166.6313,0.3167,0.3167,True,100.0
2016-11,18,171.3537,173.7789,18,171.3537,1.3956,1.3956,True,100.0
2016-12,30,176.4207,178.4744,30,176.4207,1.1507,1.1507,True,100.0
2017-01,19,178.2682,180.6656,19,178.2682,1.327,1.327,True,100.0
2017-02,28,186.526,187.076,22,186.4745,0.294,0.3215,True,91.43
2017-03,21,185.2457,185.0713,27,185.0713,-0.0942,0.0,False,0.0
2017-04,19,184.9849,189.077,19,184.9849,2.1642,2.1642,True,100.0
2017-05,18,187.6439,191.5804,18,187.6439,2.0548,2.0548,True,100.0
2017-06,27,192.2227,192.2227,27,192.2227,0.0,0.0,False,0.0
2017-07,31,196.5413,196.8796,18,195.7002,0.1718,0.599,True,28.68
2017-08,18,193.272,194.7723,18,193.272,0.7703,0.7703,True,100.0
2017-09,18,199.8801,200.1891,25,199.3436,0.1544,0.4223,True,36.55
2017-10,19,204.8262,206.3342,25,204.3992,0.7308,0.9378,True,77.93
2017-11,20,206.7613,208.3651,20,206.7613,0.7697,0.7697,True,100.0
2017-12,29,214.8339,215.1754,29,214.8339,0.1587,0.1587,True,100.0
2018-01,30,226.6226,228.0064,18,224.7308,0.6069,1.4366,True,42.25
2018-02,27,220.8333,220.8333,21,217.3037,0.0,1.5983,False,0.0
2018-03,22,213.0647,210.555,23,208.5279,-1.1919,0.9628,False,-123.8
2018-04,24,212.5259,215.4909,24,212.5259,1.3759,1.3759,True,100.0
2018-05,31,218.8959,219.9957,29,217.453,0.4999,1.1558,True,43.25
2018-06,25,220.0133,218.6671,27,218.6671,-0.6156,0.0,False,0.0
2018-07,30,227.2654,228.5825,20,227.1593,0.5762,0.6226,True,92.55
2018-08,22,232.4188,235.3006,20,231.9857,1.2247,1.4088,True,86.93
2018-09,18,236.2818,237.1541,18,236.2818,0.3678,0.3678,True,100.0
2018-10,18,225.5841,220.3451,29,215.3282,-2.3776,2.2769,False,-104.43
2018-11,23,214.8931,218.9422,23,214.8931,1.8494,1.8494,True,100.0
2018-12,19,204.8166,203.5936,24,192.0056,-0.6007,5.6917,False,-10.55
2019-01,22,215.7441,218.1188,22,215.7441,1.0887,1.0887,True,100.0
2019-02,28,228.6087,229.1444,21,227.7249,0.2338,0.6194,True,37.74
2019-03,27,230.6228,230.6228,25,230.0392,0.0,0.253,False,0.0
2019-04,18,239.1158,240.8486,18,239.1158,0.7194,0.7194,True,100.0
2019-05,31,227.0227,231.0537,31,227.0227,1.7446,1.7446,True,100.0
2019-06,26,240.7139,241.5586,26,240.7139,0.3497,0.3497,True,100.0
2019-07,19,246.3235,248.5435,19,246.3235,0.8932,0.8932,True,100.0
2019-08,27,237.7321,237.7321,23,236.0536,0.0,0.706,False,0.0
2019-09,24,246.3326,245.9636,27,245.9636,-0.15,0.0,False,0.0
2019-10,22,249.0193,251.2045,18,248.167,0.8699,1.2092,True,71.94
2019-11,29,261.7319,262.7383,21,258.4404,0.3831,1.6358,True,23.42
2019-12,30,268.8224,270.3075,18,266.202,0.5494,1.5188,True,36.17
2020-01,24,275.1913,270.8178,31,269.4147,-1.6149,0.5181,False,-311.68
2020-02,27,249.0964,249.0964,28,247.5929,0.0,0.6036,False,0.0
2020-03,20,192.9148,213.1638,23,186.9921,9.4993,12.2778,True,77.37
2020-04,21,229.7237,241.5784,21,229.7237,4.9072,4.9072,True,100.0
2020-05,21,248.0229,255.4469,19,245.8076,2.9063,3.7735,True,77.02
2020-06,26,253.671,259.7585,26,253.671,2.3435,2.3435,True,100.0
2020-07,24,271.286,273.2644,24,271.286,0.724,0.724,True,100.0
2020-08,19,285.1069,294.5203,19,285.1069,3.1962,3.1962,True,100.0
2020-09,23,273.9176,279.0706,23,273.9176,1.8465,1.8465,True,100.0
2020-10,30,277.0629,287.1818,30,277.0629,3.5235,3.5235,True,100.0
2020-11,18,302.4756,308.778,20,301.7086,2.0411,2.2895,True,89.15
2020-12,24,314.6986,317.4358,22,313.1955,0.8623,1.3358,True,64.55
2021-01,29,315.645,319.4122,29,315.645,1.1794,1.1794,True,100.0
2021-02,26,324.3763,326.1671,26,324.3763,0.5491,0.5491,True,100.0
2021-03,24,331.6416,333.5067,24,331.6416,0.5592,0.5592,True,100.0
2021-04,22,352.8959,357.3188,20,352.8493,1.2378,1.2508,True,98.96
2021-05,19,351.7225,358.8459,19,351.7225,1.9851,1.9851,True,100.0
2021-06,24,365.0567,366.4068,18,356.4622,0.3685,2.7141,True,13.58
2021-07,19,365.015,377.0956,19,365.015,3.2036,3.2036,True,100.0
2021-08,18,377.3104,386.6721,18,377.3104,2.4211,2.4211,True,100.0
2021-09,30,369.6991,381.4774,30,369.6991,3.0876,3.0876,True,100.0
2021-10,27,391.1929,391.1929,18,385.4282,0.0,1.4736,False,0.0
2021-11,26,395.7018,395.7018,30,392.8146,0.0,0.7296,False,0.0
2021-12,20,393.5083,412.8353,20,393.5083,4.6815,4.6815,True,100.0
2022-01,18,394.8941,373.0674,27,373.0674,-5.8506,0.0,False,0.0
2022-02,24,370.4614,378.5523,23,364.8541,2.1373,3.6186,True,59.07
2022-03,31,391.9101,392.8068,23,385.1003,0.2283,1.9619,True,11.64
2022-04,26,361.1082,362.0428,29,357.4834,0.2581,1.2594,True,20.5
2022-05,18,340.1519,360.4096,19,337.877,5.6207,6.252,True,89.9
2022-06,30,328.7878,338.5566,22,326.1433,2.8854,3.6665,True,78.7
2022-07,19,341.8017,349.4318,18,332.7687,2.1836,4.7686,True,45.79
2022-08,31,344.2093,365.6116,31,344.2093,5.8538,5.8538,True,100.0
2022-09,30,312.5459,317.8971,30,312.5459,1.6833,1.6833,True,100.0
