period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2007-08,20,51.036,51.7338,28,50.6729,1.3488,2.0507,True,65.77
2007-09,20,53.706,54.246,25,53.556,0.9955,1.272,True,78.26
2007-10,23,53.9135,53.842,19,53.27,-0.1328,1.0624,False,-12.5
2007-11,21,50.2311,50.5957,26,49.9844,0.7208,1.2082,True,59.65
2007-12,27,52.6359,52.6359,19,51.6075,0.0,1.9537,False,0.0
2008-01,22,46.4104,47.2335,22,46.4104,1.7426,1.7426,True,100.0
2008-02,29,47.7332,49.3075,29,47.7332,3.1929,3.1929,True,100.0
2008-03,19,46.1768,47.4903,19,46.1768,2.7658,2.7658,True,100.0
2008-04,29,49.8159,50.047,22,49.2381,0.4618,1.6163,True,28.57
2008-05,23,49.5667,50.0001,23,49.5667,0.8667,0.8667,True,100.0
2008-06,18,48.7506,46.6013,30,46.507,-4.612,0.2024,False,-2278.54
2008-07,28,45.1718,45.7886,28,45.1718,1.3471,1.3471,True,100.0
2008-08,19,46.3401,46.7537,25,46.2893,0.8846,0.9933,True,89.06
2008-09,29,41.4572,44.4179,29,41.4572,6.6656,6.6656,True,100.0
2008-10,27,30.5113,30.5113,27,30.5113,0.0,0.0,False,0.0
2008-11,19,29.0528,30.7811,20,27.113,5.6148,11.9167,True,47.12
2008-12,22,31.7148,31.8323,23,31.3767,0.3693,1.4312,True,25.81
2009-01,20,29.4883,30.8771,20,29.4883,4.4979,4.4979,True,100.0
2009-02,27,27.0487,27.0487,27,27.0487,0.0,0.0,False,0.0
2009-03,30,29.0272,30.0853,20,28.2464,3.517,6.1123,True,57.54
2009-04,20,30.8918,31.8167,20,30.8918,2.9069,2.9069,True,100.0
2009-05,21,33.0006,33.341,21,33.0006,1.0209,1.0209,True,100.0
2009-06,22,33.3336,34.3768,22,33.3336,3.0348,3.0348,True,100.0
2009-07,29,36.6151,36.8828,20,35.5815,0.7258,3.5282,True,20.57
2009-08,19,37.552,38.8459,18,37.2323,3.3308,4.1539,True,80.18
2009-09,25,39.5105,39.5105,25,39.5105,0.0,0.0,False,0.0
2009-10,30,38.9801,40.1455,30,38.9801,2.9029,2.9029,True,100.0
2009-11,19,41.2436,41.0942,27,41.0942,-0.3636,0.0,False,0.0
2009-12,31,42.3784,42.8896,18,41.8487,1.1919,2.4269,True,49.11
