period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2008-03,19,26.7129,28.3858,19,26.7129,5.8936,5.8936,True,100.0
2008-04,21,30.8184,31.0385,29,30.2397,0.7089,2.5736,True,27.55
2008-05,23,30.8546,30.9571,23,30.8546,0.3311,0.3311,True,100.0
2008-06,26,27.8583,28.0874,26,27.8583,0.8157,0.8157,True,100.0
2008-07,18,27.1289,26.6586,24,26.6586,-1.764,0.0,False,0.0
2008-08,25,24.4522,25.0128,25,24.4522,2.2415,2.2415,True,100.0
2008-09,18,20.4974,22.3783,29,19.37,8.4052,13.4429,True,62.53
2008-10,21,14.8003,11.8885,27,11.8885,-24.4929,0.0,False,0.0
2008-11,24,13.5464,13.2811,20,11.2133,-1.9973,15.5697,False,-12.83
2008-12,22,14.5893,14.566,23,14.4024,-0.1599,1.1232,False,-14.23
2009-01,22,13.4056,13.7543,20,12.9997,2.5357,5.4864,True,46.22
2009-02,20,13.0378,13.2914,23,12.7207,1.9084,4.2939,True,44.44
2009-03,19,14.6231,15.4094,20,14.4329,5.1028,6.3374,True,80.52
2009-04,20,16.3035,16.6333,20,16.3035,1.9825,1.9825,True,100.0
2009-05,21,19.544,19.7215,21,19.544,0.9003,0.9003,True,100.0
2009-06,22,19.024,20.1781,22,19.024,5.7197,5.7197,True,100.0
2009-07,29,21.6683,22.2517,22,21.5922,2.6218,2.9638,True,88.46
2009-08,31,22.22,22.6322,18,21.9664,1.8213,2.9421,True,61.91
2009-09,24,23.8751,24.0527,24,23.8751,0.7382,0.7382,True,100.0
2009-10,30,23.8434,25.0165,30,23.8434,4.6894,4.6894,True,100.0
2009-11,27,25.3209,25.3209,27,25.3209,0.0,0.0,False,0.0
2009-12,18,25.4731,26.2366,21,25.4287,2.9101,3.0793,True,94.51
2010-01,22,25.2468,24.9319,29,24.5784,-1.2633,1.4179,False,-89.1
2010-02,23,24.7133,24.8226,23,24.7133,0.4402,0.4402,True,100.0
2010-03,25,26.3202,26.3202,25,26.3202,0.0,0.0,False,0.0
2010-04,27,26.7187,26.7187,27,26.7187,0.0,0.0,False,0.0
2010-05,18,24.829,24.9254,20,23.4086,0.3869,6.0856,True,6.36
