period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2014-01,27,34.7212,34.7212,31,34.4225,0.0,0.8603,False,0.0
2014-02,26,36.0967,36.2704,19,35.8397,0.4788,1.1876,True,40.32
2014-03,20,35.3673,36.0781,21,35.3603,1.9703,1.9896,True,99.03
2014-04,24,36.8199,36.596,25,36.596,-0.6118,0.0,False,0.0
2014-05,20,37.0508,37.6805,20,37.0508,1.6713,1.6713,True,100.0
2014-06,26,38.2693,38.3683,24,38.2127,0.2582,0.4057,True,63.65
2014-07,31,37.7457,38.5381,31,37.7457,2.0562,2.0562,True,100.0
2014-08,29,38.1844,38.3895,22,37.9297,0.5344,1.1979,True,44.61
2014-09,23,36.9392,36.5437,30,36.2734,-1.0821,0.7396,False,-146.32
2014-10,22,34.8723,35.1283,20,34.7798,0.7289,0.9921,True,73.47
2014-11,18,35.9961,36.3161,20,35.804,0.8813,1.4101,True,62.5
2014-12,18,34.8083,35.2884,31,34.6646,1.3607,1.768,True,76.96
2015-01,30,34.7578,35.4175,20,34.7578,1.8627,1.8627,True,100.0
2015-02,19,36.4071,36.7656,19,36.4071,0.9752,0.9752,True,100.0
2015-03,31,36.2168,36.447,19,36.0988,0.6315,0.9555,True,66.09
2015-04,30,37.9576,38.5977,20,37.6483,1.6586,2.4599,True,67.42
2015-05,29,37.6123,38.1661,29,37.6123,1.4512,1.4512,True,100.0
2015-06,29,36.5703,37.6411,29,36.5703,2.8445,2.8445,True,100.0
2015-07,23,36.4468,35.6908,27,35.6908,-2.1181,0.0,False,0.0
2015-08,21,33.4447,33.9535,24,32.2307,1.4986,5.0739,True,29.54
2015-09,28,31.6061,32.2929,28,31.6061,2.1268,2.1268,True,100.0
2015-10,30,34.4044,34.5797,21,34.324,0.5071,0.7395,True,68.57
2015-11,19,34.3313,33.9368,27,33.9368,-1.1625,0.0,False,0.0
2015-12,23,33.6867,33.5026,18,32.6801,-0.5494,2.4549,False,-22.38
2016-01,19,30.2775,30.5941,20,29.5338,1.0349,3.4657,True,29.86
2016-02,19,30.7046,30.8297,24,30.5131,0.406,1.027,True,39.53
2016-03,24,32.5541,32.7684,24,32.5541,0.6537,0.6537,True,100.0
2016-04,29,33.8986,34.4083,29,33.8986,1.4813,1.4813,True,100.0
2016-05,19,32.7093,33.6548,19,32.7093,2.8095,2.8095,True,100.0
2016-06,27,31.4427,31.4427,27,31.4427,0.0,0.0,False,0.0
2016-07,21,34.1869,34.4337,19,33.9477,0.7167,1.4115,True,50.77
2016-08,26,35.0618,35.316,31,34.9197,0.7199,1.1222,True,64.15
2016-09,19,34.762,35.4163,19,34.762,1.8475,1.8475,True,100.0
2016-10,26,34.9199,34.8372,28,34.7996,-0.2375,0.1079,False,-220.05
2016-11,30,34.1302,34.1227,18,33.679,-0.0221,1.3004,False,-1.7
2016-12,19,34.5815,34.5739,22,34.4677,-0.0219,0.3071,False,-7.14
2017-01,19,35.7345,36.3716,19,35.7345,1.7518,1.7518,True,100.0
2017-02,28,36.7054,36.8343,28,36.7054,0.3501,0.3501,True,100.0
2017-03,22,37.6232,37.8969,21,37.5549,0.7222,0.9024,True,80.04
2017-04,27,38.5818,38.5818,19,37.3718,0.0,3.1361,False,0.0
2017-05,18,39.1753,39.8602,18,39.1753,1.7182,1.7182,True,100.0
2017-06,20,39.7233,39.9202,21,39.6586,0.4932,0.6551,True,75.29
2017-07,21,41.0893,41.2431,18,40.897,0.373,0.8392,True,44.44
2017-08,18,40.8585,41.4431,18,40.8585,1.4106,1.4106,True,100.0
2017-09,27,41.9848,41.9848,27,41.9848,0.0,0.0,False,0.0
2017-10,26,42.7891,42.9592,26,42.7891,0.3961,0.3961,True,100.0
2017-11,29,43.4774,43.516,20,43.1371,0.0889,0.8708,True,10.21
2017-12,18,43.8795,44.1924,20,43.7403,0.708,1.023,True,69.21
2018-01,30,46.8236,47.2921,18,46.605,0.9906,1.4529,True,68.18
2018-02,21,44.6843,44.9419,28,44.4344,0.5733,1.1293,True,50.77
2018-03,23,43.2164,43.625,23,43.2164,0.9367,0.9367,True,100.0
2018-04,25,44.2591,44.6896,25,44.2591,0.9634,0.9634,True,100.0
2018-05,31,43.7424,44.2121,29,43.3432,1.0623,1.9653,True,54.05
2018-06,27,42.2038,42.2038,27,42.2038,0.0,0.0,False,0.0
2018-07,31,43.9053,43.8341,19,43.0348,-0.1625,1.8234,False,-8.91
2018-08,31,42.8528,43.4621,20,42.3779,1.402,2.4945,True,56.2
2018-09,28,42.9445,43.2547,18,42.5916,0.7171,1.5329,True,46.78
2018-10,23,39.6441,39.0318,29,38.483,-1.5689,1.4059,False,-111.59
2018-11,20,38.7932,39.5646,20,38.7932,1.9498,1.9498,True,100.0
2018-12,18,38.2047,37.6583,24,36.75,-1.451,2.4119,False,-60.16
2019-01,22,39.6035,40.4314,22,39.6035,2.0477,2.0477,True,100.0
2019-02,28,41.5326,41.7015,19,41.2513,0.4048,1.0794,True,37.5
2019-03,25,41.4894,41.6023,22,41.4523,0.2714,0.3605,True,75.27
2019-04,30,43.0135,42.6909,25,42.6909,-0.7556,0.0,False,0.0
2019-05,23,40.812,40.8846,31,40.683,0.1775,0.4931,True,35.99
2019-06,19,42.578,42.8673,18,42.2958,0.6748,1.3332,True,50.61
2019-07,18,43.1201,42.8346,31,42.1739,-0.6666,1.5425,False,-43.21
2019-08,27,40.624,40.624,23,40.3548,0.0,0.6627,False,0.0
2019-09,24,42.4662,42.2201,27,42.2201,-0.583,0.0,False,0.0
