period,model_day,model_price,day27_price,actual_opt_day,actual_opt_price,model_saving_vs_27,optimal_saving_vs_27,model_beat_27,capture_rate
2009-11,27,22.7754,22.7754,20,22.7693,0.0,0.0265,False,0.0
2009-12,31,23.1564,23.4245,18,22.9446,1.1446,2.049,True,55.86
2010-01,22,22.7542,22.8639,29,22.4435,0.4797,1.839,True,26.09
2010-02,23,22.8944,23.0102,23,22.8944,0.5031,0.5031,True,100.0
2010-03,24,24.2655,24.1791,19,24.1131,-0.3574,0.2727,False,-131.04
2010-04,27,24.5591,24.5591,27,24.5591,0.0,0.0,False,0.0
2010-05,20,22.5917,22.99,26,22.2791,1.7329,3.0925,True,56.03
2010-06,29,21.931,22.5237,30,21.7458,2.6316,3.4539,True,76.19
2010-07,30,23.3326,23.5734,19,22.5978,1.0215,4.1382,True,24.68
2010-08,24,22.5669,22.8571,26,22.5299,1.2696,1.4316,True,88.68
2010-09,23,23.9562,24.2646,23,23.9562,1.2711,1.2711,True,100.0
2010-10,19,24.7123,24.9735,19,24.7123,1.0458,1.0458,True,100.0
2010-11,30,24.8864,25.0295,30,24.8864,0.5714,0.5714,True,100.0
2010-12,21,26.3727,26.4247,20,26.3229,0.1968,0.385,True,51.1
2011-01,28,26.7316,27.1201,19,26.7254,1.4322,1.4553,True,98.41
2011-02,24,27.4208,27.5711,24,27.4208,0.5453,0.5453,True,100.0
2011-03,23,27.3706,27.6784,18,26.9509,1.1118,2.6283,True,42.3
2011-04,18,27.8803,28.9276,18,27.8803,3.6205,3.6205,True,100.0
2011-05,23,28.5238,28.6563,24,28.467,0.4623,0.6605,True,69.99
2011-06,24,27.6669,27.8703,24,27.6669,0.7299,0.7299,True,100.0
2011-07,28,28.0293,28.2009,29,27.8195,0.6087,1.3526,True,45.0
2011-08,18,25.5881,25.9632,22,25.3592,1.4446,2.3261,True,62.1
2011-09,22,25.4673,26.4391,22,25.4673,3.6758,3.6758,True,100.0
2011-10,31,27.9831,28.6557,19,27.3745,2.3474,4.4712,True,52.5
2011-11,23,26.5545,26.5096,25,26.5096,-0.1691,0.0,False,0.0
2011-12,19,27.9575,29.363,19,27.9575,4.7866,4.7866,True,100.0
2012-01,30,29.8152,29.925,31,29.7571,0.367,0.5613,True,65.39
2012-02,29,30.6938,30.7132,22,30.5258,0.0631,0.61,True,10.35
2012-03,26,31.6125,31.541,22,31.1461,-0.2268,1.252,False,-18.12
2012-04,23,30.923,31.58,23,30.923,2.0803,2.0803,True,100.0
2012-05,18,29.8693,30.201,18,29.8693,1.0985,1.0985,True,100.0
2012-06,25,30.4711,30.8644,25,30.4711,1.2745,1.2745,True,100.0
2012-07,24,31.2381,32.3001,24,31.2381,3.288,3.288,True,100.0
2012-08,20,32.7394,32.5165,23,32.3001,-0.6855,0.6653,False,-103.03
2012-09,26,33.2372,33.4091,26,33.2372,0.5143,0.5143,True,100.0
2012-10,23,32.8937,32.9663,24,32.8342,0.2204,0.4008,True,55.0
2012-11,19,32.1338,32.4443,19,32.1338,0.9572,0.9572,True,100.0
